"ID","Viewpoint","Location","Collar","Tie","Skirt","Uniform","Sleeve","NSFW","Mood","Subject","Gender","Time","Author","Remarks"
"","","","","","","","0","0","0","","0","0","",""
"","","","","","","","Short","Safe","Negative","","Feminine","Day","",""
"","","","","","","","1","1","1","","1","1","",""
"","","","","","","","Long","Ecchi","Neutral","","Masculine","Evening","",""
"","","","","","","","","2","2","","","2","",""
"","","","","","","","","NSFW","Positive","","","Night","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"20200406-1439","Back","Streets","Navy Blue","","Navy Blue","White","0","0","1","1","0","0","しものふ",""
"20200406-1507","Front","","Black","Red","Black","White","0","0","1","1","0","","N.G. @ www.tinami.com",""
"20200407-1325","Back","","Navy Blue","","Navy Blue","White","0","0","2","1","0","","けんたうろす",""
"20200407-1325-2","Front","Streets","Navy Blue","","","White","1","0","2","1","0","0","けんたうろす",""
"20200407-1325-3","Side","School","Black","Red","Black","White","0","0","1","1","0","1","けんたうろす",""
"20200407-1326","Front","","Blue","Red","Blue","White","0","0","1","1","0","","けんたうろす",""
"20200407-1326-2","Front","","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","","けんたうろす",""
"20200407-1326-3","Side","School","Black","Red","Black","Black","1","0","1","1","0","1","けんたうろす",""
"20200408-1426","Side","Streets,Beach","Navy Blue","Red","Black","Ivory","1","0","2","1","0","0,1","けんたうろす",""
"20200408-1427","Front","School","Black","Red","Black","Black","1","0","1","1","0","0","けんたうろす",""
"20200408-1428","Front","Streets","Black","Red","Black","Black","1","0","2","1","0","0","Kinom",""
"20200408-1429","Front","","Black","Red","Black","White","1","0","1","1","0","","esato",""
"20200408-1429-2","Front","School","Navy Blue","Light Blue","Navy Blue","White","0","0","1","1","0","1","Maemi",""
"20200408-1741","Front","","Navy Blue","Light Blue","Navy Blue","White","1","0","1","2","0","","mery",""
"20200408-1741-2","Front","","Navy Blue","Light Blue","Navy Blue","White","1","0","2","2","0","","mery",""
"20200408-1741-3","Front","","Navy Blue","Light Blue","Navy Blue","White","1","0","2","1","0","","mery","Cat"
"20200408-1741-4","Front","Streets","Navy Blue","Light Blue","Navy Blue","White","1","0","2","1","0","0","mery","Cat"
"20200409-1033","Side","Streets","Black","Pink","","White","1","0","2","1","0","0","akikiri兔",""
"20200409-1033-2","Front","","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","","K.J.","Collar,Cat"
"20200409-1033-3","Top","Streets","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","0","しろみ",""
"20200411-0136","Side","Onsen,Building","Navy Blue","White","Navy Blue","Navy Blue","1","0","2","2","0","0","ぺんたごん",""
"20200411-0137","Front,Back,Side","School,Hidden","Navy Blue","Navy Blue","Navy Blue","White","1","0","2","3","0","","ぺんたごん",""
"20200411-0138","Front,Side","School,Hidden","Navy Blue","Navy Blue","Navy Blue","White","1","0","2","3","0","","ぺんたごん",""
"20200411-0139","Front","","Navy Blue","White","Navy Blue","Navy Blue","1","0","1","1","0","","ぺんたごん",""
"20200411-0139-2","Front","Hidden","Navy Blue","Light Blue","Navy Blue","White","1","0","2","1","0","","ぺんたごん",""
"20200412-0135","Front","","Black","Deep Blue","","Black","1","0","2","1","0","","りも 🍼",""
"20200412-0135-2","Side","","Navy Blue","Deep Blue","Navy Blue","Navy Blue","1","0","2","1","0","","りも 🍼",""
"20200412-0135-3","Front","","Black","Red","Black","White","1","0","","1","0","","しぐれ",""
"20200412-0135-4","Top","","Navy Blue","Red","","Navy Blue","1","0","0","1","0","","haruiroha",""
"20200412-0135-5","Side","","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","","NEΦN",""
"20200414-1011-4","Front","Streets","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","0,1","わに","The Idolmaster: Shiny Colors,Tenka Oosaki"
"20200415-1101","Front","Bed","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","0","らんぐ",""
"20200415-1101-2","Front","","Navy Blue","Yellow","Navy Blue","White","1","0","0,1","1","0","","らんぐ",""
"20200415-1101-3","Side","","Navy Blue","Grue","Navy Blue","White","1","0","1","1","0","","Hiten",""
"20200415-1101-4","Front","Streets","Navy Blue","Red","","White","1","0","2","1","0","0","住咲ゆづな（姫咲ゆずる）",""
"20200415-1102","Side","Streets","Navy Blue","Grue","Navy Blue","White","1","0","1","1","0","0","Hiten",""
"20200416-1203","Front","","White","White","White","Navy Blue","1","0","1","1","0","0","グリーンナイト","Cat"
"20200416-1203-2","Side","","Navy Blue","","Navy Blue","White","1","0","0","1","0","","ゆどうふ",""
"20200416-1203-3","Front","","Black","Dark Red","Navy Blue","Black","1","0","0","1","1","","ゆどうふ",""
"20200416-1203-4","Side","School","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","0","ひゃくにん。",""
"20200416-1203-5","Front","","Navy Blue","Red","","White","1","0","1","1","0","0","ひゃくにん。","Rainfall"
"20200416-1204","Front,Side","Bed","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","0","ひゃくにん。",""
"20200416-1204-2","Side","School","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","1","ひゃくにん。",""
"20200418-0106","Side","","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","0","ひゃくにん。",""
"20200418-0106-2","Side","","Blue","","","Ivory","1","0","2","1","0","","Parum",""
"20200418-0106-3","Side","Streets","Navy Blue","Red","","White","0","0","0","1","0","1","Coa","Rainfall,Umbrella"
"20200418-0106-4","Side","","Navy Blue","Red","","White","1","0","2","1","0","1","しゅは",""
"20200418-0107","Side","Streets","Black","Red","Black","Black","1","0","0","1","0","","しゅは","Rainfall,Umbrella"
"20200418-0107-2","Front","","Black","Red","Black","Black","1","0","2","1","0","","しゅは",""
"20200419-1228","Front","School","Blue","Grue","Blue","White","0","0","1","1","0","0","ANRi°",""
